Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
54860194,Owls of the Eastern Ice: A Quest to Find and Save the World's Largest Owl,Jonathan C. Slaght,"Slaght, Jonathan C.",,"=""125079871X""","=""9781250798718""",5.0,Picador,Paperback,368,2021,2020,,2021/05/11,,,read,,,,1,0
43923951,Such a Fun Age,Kiley Reid,"Reid, Kiley",,"=""052554190X""","=""9780525541905""",0,G.P. Putnam's Sons,Hardcover,310,2019,2019,,2021/06/19,,,read,,,,1,0
466435,The Gift of a Home,Beverley Nichols,"Nichols, Beverley",,"=""0396068553""","=""9780396068556""",0,"Dodd, Mead",Hardcover,395,1973,1972,,2021/10/17,to-read,to-read (#86),to-read,,,,0,0
3816543,"The Gift of a Garden, or Some Flowers Remembered",Beverley Nichols,"Nichols, Beverley",,"=""0491003587""","=""9780491003582""",0,W. H. Allen,Hardcover,344,1971,1971,,2021/10/17,to-read,to-read (#85),to-read,,,,0,0
466422,Beverley Nichols' Cats' X. Y. Z.,Beverley Nichols,"Nichols, Beverley","Juliet Clutton-Brock, Derrick Sayer","=""0881925942""","=""9780881925944""",0,Timber Pr,Hardcover,136,2003,2003,,2021/10/17,to-read,to-read (#84),to-read,,,,0,0
466421,Cats' A. B. C,Beverley Nichols,"Nichols, Beverley",Juliet Clutton-Brock,"=""0881925810""","=""9780881925814""",0,Timber Press,Hardcover,124,2003,2003,,2021/10/17,to-read,to-read (#83),to-read,,,,0,0
5347627,Rhapsody in Green: The Garden Wit and Wisdom of Beverley Nichols,Beverley Nichols,"Nichols, Beverley",Roy C. Dicks,"=""0881929484""","=""9780881929485""",0,Timber Pr,Hardcover,135,2009,2009,,2021/10/17,to-read,to-read (#82),to-read,,,,0,0
466431,Garden Open Tomorrow,Beverley Nichols,"Nichols, Beverley",,"=""0881925527""","=""9780881925524""",0,Timber Pr,Hardcover,284,2002,1968,,2021/10/17,to-read,to-read (#81),to-read,,,,0,0
466434,Down the Kitchen Sink,Beverley Nichols,"Nichols, Beverley",,"=""0491015518""","=""9780491015516""",0,Allen,Hardcover,201,1974,1974,,2021/10/17,to-read,to-read (#80),to-read,,,,0,0
675292,Garden Open Today,Beverley Nichols,"Nichols, Beverley",,"=""0881925330""","=""9780881925333""",0,Timber Pr,Hardcover,258,2002,1963,,2021/10/17,,,read,,,,1,0
466430,"Village in a Valley (Allways trilogy, #3)",Beverley Nichols,"Nichols, Beverley",Bryan Connon,"=""0881927295""","=""9780881927290""",0,Timber Pr,Hardcover,292,2005,1934,,2021/10/17,to-read,to-read (#79),to-read,,,,0,0
466426,"A Thatched Roof (Allways trilogy, #2)",Beverley Nichols,"Nichols, Beverley",Rex Whistler,"=""0881927287""","=""9780881927283""",0,Timber Pr,Hardcover,289,2005,1932,,2021/10/17,to-read,to-read (#78),to-read,,,,0,0
466420,Sunlight on the Lawn,Beverley Nichols,"Nichols, Beverley",Bryan Connon,"=""0881924679""","=""9780881924671""",5.0,Timber Pr,Hardcover,264,2007,1999,,2021/10/17,,,read,,,,1,0
466432,"Down the Garden Path (Allways trilogy, #1)",Beverley Nichols,"Nichols, Beverley",,"=""0881927104""","=""9780881927108""",5.0,Timber Pr,Hardcover,290,2004,1931,,2021/10/17,,,read,,,,1,0
102827,Merry Hall,Beverley Nichols,"Nichols, Beverley",William McLaren,"=""0881924172""","=""9780881924176""",5.0,Timber Press,Hardcover,320,2002,1951,,2021/10/17,,,read,,,,1,0
466419,Laughter on the Stairs,Beverley Nichols,"Nichols, Beverley",,"=""0881924601""","=""9780881924602""",0,Timber Pr,Hardcover,257,1998,1953,,2021/10/17,to-read,to-read (#77),to-read,,,,0,0
6091362,Led by the Nose: A Garden of Smells,Jenny Joseph,"Joseph, Jenny",,"=""0285636537""","=""9780285636538""",0,Souvenir Press,Hardcover,212,2004,2002,,2021/10/17,to-read,to-read (#76),to-read,,,,0,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",0,Ballantine Books,Hardcover,476,2021,2021,,2021/07/09,to-read,to-read (#75),to-read,,,,0,0
50403480,At Night All Blood is Black,David Diop,"Diop, David",Anna Moschovakis,"=""0374266972""","=""9780374266974""",0,"Farrar, Straus and Giroux",Hardcover,145,2020,2018,,2021/07/09,to-read,to-read (#74),to-read,,,,0,0
41009467,Unbroken Threads,Jennifer Klepper,"Klepper, Jennifer",,"=""""","=""""",0,"Red Adept Publishing, LLC",Kindle Edition,319,2018,2018,,2021/06/19,to-read,to-read (#73),to-read,,,,0,0
36191056,Sunsets and Olives: How NOT to retire early in Southern Spain!,John Austin Richards,"Richards, John Austin",,"=""""","=""""",0,,Kindle Edition,364,2017,,,2021/06/19,to-read,to-read (#72),to-read,,,,0,0
33871402,Sidewalks in the Jungle: What It's REALLY Like to Live and Retire in Costa Rica,Alfred Stites,"Stites, Alfred",,"=""""","=""""",0,Hatala Geroproducts,Kindle Edition,284,2016,,,2021/06/19,to-read,to-read (#71),to-read,,,,0,0
